Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,252.750000,253.500000,242.800003,243.600006,238.956863,2429618
2017-01-03,243.600006,246.300003,241.100006,244.850006,240.183044,1524646
2017-01-04,245.199997,246.449997,242.500000,242.899994,238.270203,1271447
2017-01-05,244.949997,246.000000,244.050003,245.449997,240.771606,1025688
2017-01-06,246.000000,248.949997,245.300003,245.949997,241.262070,1050117
2017-01-09,246.550003,248.199997,246.100006,247.000000,242.292053,594964
2017-01-10,247.500000,248.899994,246.399994,247.850006,243.125870,667028
2017-01-11,248.100006,253.149994,248.100006,251.899994,247.098663,2441459
2017-01-12,252.350006,254.300003,250.550003,251.100006,246.313919,1755393
2017-01-13,252.050003,252.949997,248.850006,250.899994,246.117722,1635559
2017-01-16,251.050003,256.399994,250.750000,255.750000,250.875275,1147858
2017-01-17,256.600006,258.549988,254.649994,256.149994,251.267654,887020
2017-01-18,256.500000,259.000000,256.500000,257.600006,252.690018,761642
2017-01-19,257.000000,261.799988,256.649994,258.299988,253.376663,1557394
2017-01-20,258.799988,260.549988,250.399994,251.000000,246.215820,1536608
2017-01-23,251.000000,254.949997,250.199997,254.100006,249.256729,1141206
2017-01-24,255.100006,256.950012,254.250000,254.699997,249.845291,1280279
2017-01-25,255.100006,261.000000,254.250000,259.299988,254.357605,2082222
2017-01-27,260.000000,268.250000,259.500000,266.500000,261.420380,2597953
2017-01-30,266.000000,267.700012,262.600006,263.000000,257.987091,1972593
2017-01-31,262.649994,263.899994,259.450012,260.000000,255.044266,1393891
2017-02-01,261.600006,271.649994,261.000000,270.299988,265.147949,4767253
2017-02-02,271.100006,274.700012,268.600006,272.700012,267.502228,4939979
2017-02-03,273.000000,278.049988,272.000000,277.399994,272.112610,3954087
2017-02-06,279.100006,282.450012,276.000000,277.049988,271.769287,1742387
2017-02-07,278.000000,279.600006,276.200012,277.500000,272.210724,2507178
2017-02-08,277.799988,279.200012,273.000000,277.299988,272.014526,2999403
2017-02-09,278.299988,280.200012,271.049988,275.850006,270.592163,1953369
2017-02-10,278.049988,282.450012,275.000000,276.250000,270.984528,5531109
2017-02-13,277.950012,278.350006,270.200012,271.399994,266.226990,1535861
2017-02-14,273.399994,273.399994,268.100006,270.500000,265.344147,1834821
2017-02-15,270.549988,272.399994,267.100006,268.649994,263.529388,1425318
2017-02-16,276.500000,277.000000,269.799988,270.399994,265.246033,3218188
2017-02-17,270.899994,273.700012,267.750000,268.799988,263.676514,2822028
2017-02-20,269.350006,271.500000,268.100006,269.250000,264.117950,1645609
2017-02-21,269.450012,271.250000,268.700012,270.649994,265.491272,1022457
2017-02-22,271.250000,274.500000,269.549988,271.799988,266.619354,1557349
2017-02-23,271.899994,273.000000,269.799988,270.500000,265.344147,2294677
2017-02-27,271.000000,271.500000,267.600006,268.149994,263.038910,1932776
2017-02-28,268.299988,271.000000,268.200012,269.200012,264.068939,578290
2017-03-01,270.000000,273.100006,270.000000,271.950012,266.766510,1157627
2017-03-02,273.500000,274.600006,265.899994,267.000000,261.910858,1130527
2017-03-03,266.000000,268.600006,264.500000,265.149994,260.096100,763059
2017-03-06,265.549988,270.450012,265.549988,269.899994,264.755554,623060
2017-03-07,270.299988,271.000000,266.450012,268.049988,262.940826,441030
2017-03-08,268.500000,270.250000,266.049988,269.700012,264.559387,1250732
2017-03-09,269.850006,273.799988,268.500000,273.200012,267.992676,2253195
2017-03-10,274.799988,275.649994,269.700012,272.049988,266.864594,2350135
2017-03-14,278.000000,279.000000,273.950012,274.700012,269.464081,998562
2017-03-15,272.500000,280.000000,272.500000,277.399994,272.112610,1481548
2017-03-16,278.799988,280.000000,276.100006,278.950012,273.633087,3721429
2017-03-17,279.600006,279.600006,273.500000,274.100006,268.875519,1281510
2017-03-20,275.000000,275.000000,272.000000,274.000000,268.777435,8106217
2017-03-21,274.000000,277.000000,270.200012,272.299988,267.109802,1142201
2017-03-22,271.399994,271.399994,267.000000,267.649994,262.548462,932422
2017-03-23,268.549988,269.450012,266.649994,268.500000,263.382263,849174
2017-03-24,269.950012,278.750000,268.700012,276.049988,270.788330,1912571
2017-03-27,276.299988,280.700012,275.299988,279.350006,274.025452,1533913
2017-03-28,280.000000,282.899994,278.600006,282.149994,276.772064,4603318
2017-03-29,282.950012,289.549988,282.500000,287.750000,282.265350,18346220
2017-03-30,288.350006,293.500000,288.149994,290.000000,284.472443,1974483
2017-03-31,292.399994,294.250000,288.549988,292.600006,287.022919,2076728
2017-04-03,294.299988,295.500000,291.500000,293.149994,287.562408,1077883
2017-04-05,292.850006,298.649994,289.750000,296.700012,291.044769,2401978
2017-04-06,295.700012,297.549988,291.600006,292.700012,287.121002,2089915
2017-04-07,292.100006,294.700012,288.049988,289.399994,283.883881,1587699
2017-04-10,289.399994,290.299988,286.500000,289.000000,283.491516,1215367
2017-04-11,289.799988,294.500000,289.049988,293.700012,288.101959,1261467
2017-04-12,294.000000,295.500000,289.200012,290.100006,284.570557,1377460
2017-04-13,289.299988,292.899994,289.299988,291.000000,285.453400,1722889
2017-04-17,291.450012,292.500000,288.549988,289.649994,284.129120,1239658
2017-04-18,290.500000,296.399994,288.500000,290.149994,284.619598,1485051
2017-04-19,291.899994,293.000000,283.200012,284.200012,278.783020,1484320
2017-04-20,284.200012,287.100006,282.149994,284.899994,279.469666,964058
2017-04-21,286.500000,286.899994,279.350006,282.149994,276.772064,1272216
2017-04-24,282.500000,287.350006,281.000000,285.549988,280.107269,765144
2017-04-25,287.899994,288.600006,285.049988,286.000000,280.548706,650865
2017-04-26,286.500000,289.149994,283.350006,286.399994,280.941071,810712
2017-04-27,286.000000,287.799988,281.000000,281.950012,276.575897,949975
2017-04-28,283.049988,290.500000,282.600006,289.450012,283.932953,1114024
2017-05-02,290.799988,292.500000,287.100006,288.250000,282.755798,866004
2017-05-03,288.700012,293.149994,285.799988,289.350006,283.834839,1111318
2017-05-04,293.100006,299.799988,293.100006,298.799988,293.104706,2582802
2017-05-05,300.250000,304.899994,292.000000,295.950012,290.309052,3366537
2017-05-08,296.250000,300.399994,294.000000,298.649994,292.957581,815944
2017-05-09,300.350006,301.000000,295.299988,296.000000,290.358093,1084844
2017-05-10,297.000000,298.000000,293.100006,294.600006,288.984772,820206
2017-05-11,295.100006,299.299988,294.450012,298.000000,292.319977,2155328
2017-05-12,299.250000,302.500000,295.700012,297.149994,291.486176,2386158
2017-05-15,298.000000,301.500000,297.600006,300.450012,294.723297,2157073
2017-05-16,301.049988,308.299988,299.200012,307.000000,301.148438,5871721
2017-05-17,308.000000,308.600006,305.450012,307.649994,301.786041,1106424
2017-05-18,304.700012,307.850006,302.049988,302.950012,297.175629,1046542
2017-05-19,304.799988,315.000000,302.200012,308.149994,302.276489,4801674
2017-05-22,309.000000,309.299988,293.250000,294.399994,288.788574,2278172
2017-05-23,295.000000,295.899994,287.000000,289.149994,283.638641,1478728
2017-05-24,289.100006,290.149994,281.899994,283.149994,277.753021,1371376
2017-05-25,284.049988,291.000000,283.850006,290.000000,284.472443,1024680
2017-05-26,290.000000,290.750000,285.299988,288.450012,282.952026,1077478
2017-05-29,288.149994,290.799988,283.750000,284.399994,278.979187,978317
2017-05-30,283.899994,289.450012,281.149994,288.799988,283.295319,699527
2017-05-31,289.399994,291.250000,287.450012,288.549988,283.050079,601296
2017-06-01,287.200012,291.149994,284.850006,287.350006,281.872986,901626
2017-06-02,289.250000,290.500000,286.649994,287.399994,281.921997,659567
2017-06-05,288.000000,289.600006,287.000000,287.350006,281.872986,541392
2017-06-06,291.000000,292.899994,286.500000,287.250000,281.774872,803082
2017-06-07,288.049988,291.450012,287.250000,290.750000,285.208160,816223
2017-06-08,292.299988,292.299988,288.100006,288.799988,283.295319,575665
2017-06-09,288.799988,289.500000,286.000000,288.500000,283.001038,1461948
2017-06-12,287.000000,287.000000,284.399994,285.049988,279.616791,698974
2017-06-13,286.000000,287.100006,283.000000,283.799988,278.390625,834111
2017-06-14,285.350006,286.350006,282.799988,284.350006,278.930145,727888
2017-06-15,284.500000,285.750000,281.549988,284.049988,278.635864,1373156
2017-06-16,284.000000,286.649994,283.350006,285.850006,280.401550,1691416
2017-06-19,286.750000,289.549988,285.350006,288.500000,283.001038,632484
2017-06-20,287.799988,291.000000,285.700012,290.000000,284.472443,1092198
2017-06-21,289.750000,292.299988,288.250000,290.200012,284.668671,2160679
2017-06-22,291.250000,295.700012,291.250000,294.549988,288.935730,1380077
2017-06-23,294.649994,295.299988,287.799988,288.850006,283.344391,765354
2017-06-27,288.950012,289.100006,277.000000,279.399994,274.074493,2496105
2017-06-28,276.950012,278.399994,273.850006,276.399994,271.131683,1279218
